"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Distilled","Notes"
"1.9","1.1","9","This it is to have studied what a man ought to study; to have made desire, aversion, free from hindrance, and free from all that a man would avoid. I must die. If now, I am ready to die. If, after a short time, I now dine because it is the dinner-hour; after this I will then die. How? Like a man who gives up what belongs to another.","This is what it looks like when someone has actually studied what matters — when they have trained their desires and aversions to align with what is genuinely under their control.

I must die. If now, then I am ready. If later, then for now I eat my dinner, because it is dinnertime. When the moment comes, I will die as a person returning something borrowed.","This is what the training produces. I must die — if now, I am ready; if later, I dine, because it is dinnertime. When death comes, I return what was borrowed.","The trained person dies the way they return a borrowed book — without drama, because it was never theirs.","The chapter's closing image — dying 'like a man who gives up what belongs to another' — captures the Stoic view of life itself as something on loan. This connects to the framework's discussion of wisdom as orientation: the Stoic sage is not someone who avoids suffering but someone who has correctly identified what is and isn't theirs to lose."
"","1.2","","<b>Chapter 2: How a Man on every occasion can maintain his Proper Character</b>","","","",""
"1.10","1.2","10","To the rational animal only is the irrational intolerable; but that which is rational is tolerable. Blows are not naturally intolerable. ""How is that?"" See how the Lacedaemonians endure whipping when they have learned that whipping is consistent with reason. ""To hang yourself is not intolerable."" When, then, you have the opinion that it is rational, you go and hang yourself. In short, if we observe, we shall find that the animal man is pained by nothing so much as by that which is irrational; and, on the contrary, attracted to nothing so much as to that which is rational.","","","",""
"1.11","1.2","11","But the rational and the irrational appear such in a different way to different persons, just as the good and the bad, the profitable and the unprofitable. For this reason, particularly, we need discipline, in order to learn how to adapt the preconception of the rational and the irrational to the several things conformably to nature. But in order to determine the rational and the irrational, we use not only the of external things, but we consider also what is appropriate to each person. For to one man it is consistent with reason to hold a chamber pot for another, and to look to this only, that if he does not hold it, he will receive stripes, and he will not receive his food: but if he shall hold the pot, he will not suffer anything hard or disagreeable. But to another man not only does the holding of a chamber pot appear intolerable for himself, but intolerable also for him to allow another to do this office for him. If, then, you ask me whether you should hold the chamber pot or not, I shall say to you that the receiving of food is worth more than the not receiving of it, and the being scourged is a greater indignity than not being scourged; so that if you measure your interests by these things, go and hold the chamber pot. ""But this,"" you say, ""would not be worthy of me."" Well, then, it is you who must introduce this consideration into the inquiry, not I; for it is you who know yourself, how much you are worth to yourself, and at what price you sell yourself; for men sell themselves at various prices.","","","",""
"1.12","1.2","12","For this reason, when Florus was deliberating whether he should go down to Nero's spectacles and also perform in them himself, Agrippinus said to him, ""Go down"": and when Florus asked Agrippinus, ""Why do not you go down?"" Agrippinus replied, ""Because I do not even deliberate about the matter."" For he who has once brought himself to deliberate about such matters, and to calculate the value of external things, comes very near to those who have forgotten their own character. For why do you ask me the question, whether death is preferable or life? I say ""life."" ""Pain or pleasure?"" I say ""pleasure."" But if I do not take a part in the tragic acting, I shall have my head struck off. Go then and take a part, but I will not. ""Why?"" Because you consider yourself to be only one thread of those which are in the tunic. Well then it was fitting for you to take care how you should be like the rest of men, just as the thread has no design to be anything superior to the other threads. But I wish to be purple, that small part which is bright, and makes all the rest appear graceful and beautiful. Why then do you tell me to make myself like the many? and if I do, how shall I still be purple?","","","",""
"1.13","1.2","13","Priscus Helvidius also saw this, and acted conformably. For when Vespasian sent and commanded him not to go into the senate, he replied, ""It is in your power not to allow me to be a member of the senate, but so long as I am, I must go in."" ""Well, go in then,"" says the emperor, ""but say nothing."" ""Do not ask my opinion, and I will be silent."" ""But I must ask your opinion."" ""And I must say what I think right."" ""But if you do, I shall put you to death."" ""When then did I tell you that I am immortal? You will do your part, and I will do mine: it is your part to kill; it is mine to die, but not in fear: yours to banish me; mine to depart without sorrow.""","","","",""
"1.14","1.2","14","What good then did Priscus do, who was only a single person? And what good does the purple do for the toga? Why, what else than this, that it is conspicuous in the toga as purple, and is displayed also as a fine example to all other things? But in such circumstances another would have replied to Caesar who forbade him to enter the senate, ""I thank you for sparing me."" But such a man Vespasian would not even have forbidden to enter the senate, for he knew that he would either sit there like an earthen vessel, or, if he spoke, he would say what Caesar wished, and add even more.","","","",""
"1.15","1.2","15","In this way an athlete also acted who was in danger of dying unless his private parts were amputated. His brother came to the athlete, who was a philosopher, and said, ""Come, brother, what are you going to do? Shall we amputate this member and return to the gymnasium?"" But the athlete persisted in his resolution and died. When some one asked Epictetus how he did this, as an athlete or a philosopher, ""As a man,"" Epictetus replied, ""and a man who had been proclaimed among the athletes at the Olympic games and had contended in them, a man who had been familiar with such a place, and not merely anointed in Baton's school. Another would have allowed even his head to be cut off, if he could have lived without it. Such is that regard to character which is so strong in those who have been accustomed to introduce it of themselves and conjoined with other things into their deliberations.""","","","",""
"1.16","1.2","16","""Come, then, Epictetus, shave yourself."" ""If I am a philosopher,"" I answer, ""I will not shave myself."" ""But I will take off your head?"" If that will do you any good, take it off.

Some person asked, ""How then shall every man among us perceive what is suitable to his character?"" How, he replied, does the bull alone, when the lion has attacked, discover his own powers and put himself forward in defense of the whole herd? It is plain that with the powers the perception of having them is immediately conjoined; and, therefore, whoever of us has such powers will not be ignorant of them. Now a bull is not made suddenly, nor a brave man; but we must discipline ourselves in the winter for the summer campaign, and not rashly run upon that which does not concern us.","","","",""
"1.17","1.2","17","Only consider at what price you sell your own will; if for no other reason, at least for this, that you sell it not for a small sum. But that which is great and superior perhaps belongs to Socrates and such as are like him. ""Why then, if we are naturally such, are not a very great number of us like him?"" Is it true then that all horses become swift, that all dogs are skilled in tracking footprints? ""What, then, since I am naturally dull, shall I, for this reason, take no pains?"" I hope not. Epictetus is not superior to Socrates; but if he is not inferior, this is enough for me; for I shall never be a Milo, and yet I do not neglect my body; nor shall I be a Croesus, and yet I do not neglect my property; nor, in a word, do we neglect looking after anything because we despair of reaching the highest degree.","","","",""
"","1.3","","<b>Chapter 3: How a man should proceed from the principle of God being the father of all men to the rest</b>","","","",""
"1.18","1.3","18","If a man should be able to assent to this doctrine as he ought, that we are all sprung from God in an especial manner, and that God is the father both of men and of gods, I suppose that he would never have any ignoble or mean thoughts about himself. But if Caesar should adopt you, no one could endure your arrogance; and if you know that you are the son of Zeus, will you not be elated? Yet we do not so; but since these two things are mingled in the generation of man, body in common with the animals, and reason and intelligence in common with the gods, many incline to this kinship, which is miserable and mortal; and some few to that which is divine and happy. Since then it is of necessity that every man uses everything according to the opinion which he has about it, those, the few, who think that they are formed for fidelity and modesty and a sure use of appearances have no mean or ignoble thoughts about themselves; but with the many it is quite the contrary. For they say, ""What am I? A poor, miserable man, with my wretched bit of flesh."" Wretched. Indeed; but you possess something better than your ""bit of flesh."" Why then do you neglect that which is better, and why do you attach yourself to this?","","","",""
"1.19","1.3","19","Through this kinship with the flesh, some of us inclining to it become like wolves, faithless and treacherous and mischievous: some become like lions, savage and untamed; but the greater part of us become foxes and other worse animals. For what else is a slanderer and a malignant man than a fox, or some other more wretched and meaner animal? See, then, and take care that you do not become some one of these miserable things.","","","",""
"","1.4","","<b>Chapter 4: Of progress or improvement</b>","","","",""
"1.20","1.4","20","He who is making progress, having learned from philosophers that desire means the desire of good things, and aversion means aversion from bad things; having learned too that happiness and tranquillity are not attainable by man otherwise than by not failing to obtain what he desires, and not falling into that which he would avoid; such a man takes from himself desire altogether and defers it, but he employs his aversion only on things which are dependent on his will. For if he attempts to avoid anything independent of his will, he knows that sometimes he will fall in with something which he wishes to avoid, and he will be unhappy. Now if virtue promises good fortune and tranquillity and happiness, certainly also the progress toward virtue is progress toward each of these things. For it is always true that to whatever point the perfecting of anything leads us, progress is an approach toward this point.","","","",""
"1.21","1.4","21","How then do we admit that virtue is such as I have said, and yet seek progress in other things and make a display of it? What is the product of virtue? Tranquillity. Who then makes improvement? It is he who has read many books of Chrysippus? But does virtue consist in having understood Chrysippus? If this is so, progress is clearly nothing else than knowing a great deal of Chrysippus. But now we admit that virtue produces one thing. and we declare that approaching near to it is another thing, namely, progress or improvement. ""Such a person,"" says one, ""is already able to read Chrysippus by himself."" Indeed, sir, you are making great progress. What kind of progress? But why do you mock the man? Why do you draw him away from the perception of his own misfortunes? Will you not show him the effect of virtue that he may learn where to look for improvement? Seek it there, wretch, where your work lies. And where is your work? In desire and in aversion, that you may not be disappointed in your desire, and that you may not fall into that which you would avoid; in your pursuit and avoiding, that you commit no error; in assent and suspension of assent, that you be not deceived. The first things, and the most necessary, are those which I have named. But if with trembling and lamentation you seek not to fall into that which you avoid, tell me how you are improving.","","","",""
"1.22","1.4","22","Do you then show me your improvement in these things? If I were talking to an athlete, I should say, ""Show me your shoulders""; and then he might say, ""Here are my halteres."" You and your halteres look to that. I should reply, ""I wish to see the effect of the halteres."" So, when you say: ""Take the treatise on the active powers, and see how I have studied it."" I reply, ""Slave, I am not inquiring about this, but how you exercise pursuit and avoidance, desire and aversion, how your design and purpose and prepare yourself, whether conformably to nature or not. If conformably, give me evidence of it, and I will say that you are making progress: but if not conformably, be gone, and not only expound your books, but write such books yourself; and what will you gain by it? Do you not know that the whole book costs only five denarii? Does then the expounder seem to be worth more than five denarii? Never, then, look for the matter itself in one place, and progress toward it in another.""","","","",""
"1.23","1.4","23","Where then is progress? If any of you, withdrawing himself from externals, turns to his own will to exercise it and to improve it by labour, so as to make it conformable to nature, elevated, free, unrestrained, unimpeded, faithful, modest; and if he has learned that he who desires or avoids the things which are not in his power can neither be faithful nor free, but of necessity he must change with them and be tossed about with them as in a tempest, and of necessity must subject himself to others who have the power to procure or prevent what he desires or would avoid; finally, when he rises in the morning, if he observes and keeps these rules, bathes as a man of fidelity, eats as a modest man; in like manner, if in every matter that occurs he works out his chief principles as the runner does with reference to running, and the trainer of the voice with reference to the voice- this is the man who truly makes progress, and this is the man who has not traveled in vain.","","","",""
"1.24","1.4","24","But if he has strained his efforts to the practice of reading books, and labours only at this, and has traveled for this, I tell him to return home immediately, and not to neglect his affairs there; for this for which he has traveled is nothing. But the other thing is something, to study how a man can rid his life of lamentation and groaning, and saying, ""Woe to me,"" and ""wretched that I am,"" and to rid it also of misfortune and disappointment and to learn what death is, and exile, and prison, and poison, that he may be able to say when he is in fetters, ""Dear Crito, if it is the will of the gods that it be so, let it be so""; and not to say, ""Wretched am I, an old man; have I kept my gray hairs for this?"" Who is it that speaks thus? Do you think that I shall name some man of no repute and of low condition? Does not Priam say this? Does not OEdipus say this? Nay, all kings say it! For what else is tragedy than the perturbations of men who value externals exhibited in this kind of poetry? But if a man must learn by fiction that no external things which are independent of the will concern us, for this? part I should like this fiction, by the aid of which I should live happily and undisturbed.","","","",""
"1.25","1.4","25","But you must consider for yourselves what you wish.

What then does Chrysippus teach us? The reply is, ""to know that these things are not false, from which happiness comes and tranquillity arises. Take my books, and you will learn how true and conformable to nature are the things which make me free from perturbations."" O great good fortune! O the great benefactor who points out the way! To Triptolemus all men have erected temples and altars, because he gave us food by cultivation; but to him who discovered truth and brought it to light and communicated it to all, not the truth which shows us how to live, but how to live well, who of you for this reason has built an altar, or a temple, or has dedicated a statue, or who worships God for this? Because the gods have given the vine, or wheat, we sacrifice to them: but because they have produced in the human mind that fruit by which they designed to show us the truth which relates to happiness, shall we not thank God for this?","","","",""
"","1.5","","<b>Chapter 5: Against the academics</b>","","","",""
"1.26","1.5","26","If a man, said Epictetus, opposes evident truths, it is not easy to find arguments by which we shall make him change his opinion. But this does not arise either from the man's strength or the teacher's weakness; for when the man, though he has been confuted, is hardened like a stone, how shall we then be able to deal with him by argument?","","","",""
"1.27","1.5","27","Now there are two kinds of hardening, one of the understanding, the other of the sense of shame, when a man is resolved not to assent to what is manifest nor to desist from contradictions. Most of us are afraid of mortification of the body, and would contrive all means to avoid such a thing, but we care not about the soul's mortification. And indeed with regard to the soul, if a man be in such a state as not to apprehend anything, or understand at all, we think that he is in a bad condition: but if the sense of shame and modesty are deadened, this we call even power.","","","",""
"1.28","1.5","28","Do you comprehend that you are awake? ""I do not,"" the man replies, ""for I do not even comprehend when in my sleep I imagine that I am awake."" Does this appearance then not differ from the other? ""Not at all,"" he replies. Shall I still argue with this man? And what fire or what iron shall I apply to him to make him feel that he is deadened? He does perceive, but he pretends that he does not. He's even worse than a dead man. He does not see the contradiction: he is in a bad condition. Another does see it, but he is not moved, and makes no improvement: he is even in a worse condition. His modesty is extirpated, and his sense of shame; and the rational faculty has not been cut off from him, but it is brutalized. Shall I name this strength of mind? Certainly not, unless we also name it such in catamites, through which they do and say in public whatever comes into their head.","","","",""
"","1.6","","<b>Chapter 6: Of providence</b>","","","",""
"1.29","1.6","29","From everything which is or happens in the world, it is easy to praise Providence, if a man possesses these two qualities, the faculty of seeing what belongs and happens to all persons and things, and a grateful disposition. If he does not possess these two qualities, one man will not see the use of things which are and which happen; another will not be thankful for them, even if he does know them. If God had made colours, but had not made the faculty of seeing them, what would have been their use? None at all. On the other hand, if He had made the faculty of vision, but had not made objects such as to fall under the faculty, what in that case also would have been the use of it? None at all. Well, suppose that He had made both, but had not made light? In that case, also, they would have been of no use. Who is it, then, who has fitted this to that and that to this? And who is it that has fitted the knife to the case and the case to the knife? Is it no one? And, indeed, from the very structure of things which have attained their completion, we are accustomed to show that the work is certainly the act of some artificer, and that it has not been constructed without a purpose. Does then each of these things demonstrate the workman, and do not visible things and the faculty of seeing and light demonstrate Him? And the existence of male and female, and the desire of each for conjunction, and the power of using the parts which are constructed, do not even these declare the workman? If they do not, let us consider the constitution of our understanding according to which, when we meet with sensible objects, we simply receive impressions from them, but we also select something from them, and subtract something, and add, and compound by means of them these things or those, and, in fact, pass from some to other things which, in a manner, resemble them: is not even this sufficient to move some men, and to induce them not to forget the workman? If not so, let them explain to us what it is that makes each several thing, or how it is possible that things so wonderful and like the contrivances of art should exist by chance and from their own proper motion?","","","",""
"1.30","1.6","30","What, then, are these things done in us only. Many, indeed, in us only, of which the rational animal had peculiar need; but you will find many common to us with irrational animals. Do they them understand what is done? By no means. For use is one thing, and understanding is another: God had need of irrational animals to make use of appearances, but of us to understand the use of appearances. It is therefore enough for them to eat and to drink, and to sleep and to copulate, and to do all the other things which they severally do. But for us, to whom He has given also the faculty, these things are not sufficient; for unless we act in a proper and orderly manner, and conformably to the nature and constitution of each thing, we shall never attain our true end. For where the constitutions of living beings are different, there also the acts and the ends are different. In those animals, then, whose constitution is adapted only to use, use alone is enough: but in an animal which has also the power of understanding the use, unless there be the due exercise of the understanding, he will never attain his proper end. Well then God constitutes every animal, one to be eaten, another to serve for agriculture, another to supply cheese, and another for some like use; for which purposes what need is there to understand appearances and to be able to distinguish them? But God has introduced man to be a spectator of God and of His works; and not only a spectator of them, but an interpreter. For this reason it is shameful for man to begin and to end where irrational animals do, but rather he ought to begin where they begin, and to end where nature ends in us; and nature ends in contemplation and understanding, in a way of life conformable to nature. Take care then not to die without having been spectators of these things.","","","",""
"1.31","1.6","31","But you take a journey to Olympia to see the work of Phidias, and all of you think it a misfortune to die without having seen such things. But when there is no need to take a journey, and where a man is, there he has the works (of God) before him, will you not desire to see and understand them? Will you not perceive either what you are, or what you were born for, or what this is for which you have received the faculty of sight? But you may say, ""There are some things disagreeable and troublesome in life."" And are there none in Olympia? Are you not scorched? Are you not pressed by a crowd? Are you not without comfortable means of bathing? Are you not wet when it rains? Have you not abundance of noise, clamour, and other disagreeable things? But I suppose that setting all these things off against the magnificence of the spectacle, you bear and endure. Well, then, and have you not received faculties by which you will be able to bear all that happens? Have you not received greatness of soul? Have you not received manliness? Have you not received endurance? And why do I trouble myself about anything that can happen if I possess greatness of soul? What shall distract my mind or disturb me, or appear painful? Shall I not use the power for the purposes for which I received it, and shall I grieve and lament over what happens?","","","",""
"1.32","1.6","32","""Yes, but my nose runs."" For what purpose then, slave, have you hands? Is it not that you may wipe your nose? ""Is it, then, consistent with reason that there should be running of noses in the world?"" Nay, how much better it is to wipe your nose than to find fault. What do you think that Hercules would have been if there had not been such a lion, and hydra, and stag, and boar, and certain unjust and bestial men, whom Hercules used to drive away and clear out? And what would he have been doing if there had been nothing of the kind? Is it not plain that he would have wrapped himself up and have slept? In the first place, then he would not have been a Hercules, when he was dreaming away all his life in such luxury and case; and even if he had been one what would have been the use of him? and what the use of his arms, and of the strength of the other parts of his body, and his endurance and noble spirit, if such circumstances and occasions had not roused and exercised him? ""Well, then, must a man provide for himself such means of exercise, and to introduce a lion from some place into his country, and a boar and a hydra?"" This would be folly and madness: but as they did exist, and were found, they were useful for showing what Hercules was and for exercising him. Come then do you also having observed these things look to the faculties which you have, and when you have looked at them, say: ""Bring now, O Zeus, any difficulty that Thou pleasest, for I have means given to me by Thee and powers for honoring myself through the things which happen."" You do not so; but you sit still, trembling for fear that some things will happen, and weeping, and lamenting and groaning for what does happen: and then you blame the gods.","","","",""
