"Index","Chapter","Thought","D: Original","D: Narrative","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"4.31","4","31","In the first place, we affirm that next after the Olympian Gods and the Gods of the State, honour should be given to the Gods below; they should receive everything in even and of the second choice, and ill omen, while the odd numbers, and the first choice, and the things of lucky omen, are given to the Gods above, by him who would rightly hit the mark of piety. Next to these Gods, a wise man will do service to the demons or spirits, and then to the heroes, and after them will follow the private and ancestral Gods, who are worshipped as the law prescribes in the places which are sacred to them. Next comes the honour of living parents, to whom, as is meet, we have to pay the first and greatest and oldest of all debts, considering that all which a man has belongs to those who gave him birth and brought him up, and that he must do all that he can to minister to them, first, in his property, secondly, in his person, and thirdly, in his soul, in return for the endless care and travail which they bestowed upon him of old, in the days of his infancy, and which he is now to pay back to them when they are old and in the extremity of their need. And all his life long he ought never to utter, or to have uttered, an unbecoming word to them; for of light and fleeting words the penalty is most severe; Nemesis, the messenger of justice, is appointed to watch over all such matters.","""In the first place, we affirm that next after the Olympian Gods and the Gods of the State, honour should be given to the Gods below; they should receive everything in even and of the second choice, and ill omen, while the odd numbers, and the first choice, and the things of lucky omen, are given to the Gods above, by him who would rightly hit the mark of piety. Next to these Gods, a wise man will do service to the demons or spirits, and then to the heroes, and after them will follow the private and ancestral Gods, who are worshipped as the law prescribes in the places which are sacred to them. Next comes the honour of living parents, to whom, as is meet, we have to pay the first and greatest and oldest of all debts, considering that all which a man has belongs to those who gave him birth and brought him up, and that he must do all that he can to minister to them, first, in his property, secondly, in his person, and thirdly, in his soul, in return for the endless care and travail which they bestowed upon him of old, in the days of his infancy, and which he is now to pay back to them when they are old and in the extremity of their need. And all his life long he ought never to utter, or to have uttered, an unbecoming word to them; for of light and fleeting words the penalty is most severe; Nemesis, the messenger of justice, is appointed to watch over all such matters.""","""First, we declare that after the Olympian gods and the gods of the state, honor should be given to the gods of the underworld. They should receive everything in even numbers and of second quality, and all things of ill omen, while odd numbers, the choicest offerings, and things of good omen are reserved for the gods above -- this is how one rightly aims at piety.

After these gods, a wise person will honor the daemons or spirits, then the heroes, and then the private and ancestral gods, worshipped as the law prescribes in their sacred places.

Next comes the honor owed to living parents -- the first, greatest, and oldest of all debts. Everything a person has belongs to those who gave them birth and raised them. One must serve them in every way possible: first with one's property, then with one's person, and finally with one's soul -- repaying the endless care and labor they devoted during one's infancy, now that they are old and in desperate need.

Throughout one's entire life, one should never speak, and never have spoken, a disrespectful word to them. For careless and thoughtless words carry the severest penalty: Nemesis, the messenger of justice, is appointed to oversee exactly such matters.""","After the Olympian gods and state gods come the gods below, then daemons, heroes, and ancestral gods -- each honored in the proper manner and order. After the gods comes the honor of living parents: the first, greatest, and oldest of all debts. Everything one has belongs to those who gave birth and upbringing. One must repay their care with property, person, and soul, and must never speak a disrespectful word to them, for Nemesis watches over such things with the severest penalties.","The Athenian establishes a hierarchy of religious and social obligations: Olympian gods first, then underworld gods, daemons, heroes, and ancestral gods. After all divine honors comes the duty to parents -- the oldest and greatest of all debts -- which must be repaid with property, personal service, and devotion of the soul.","After a hierarchy of divine honors comes the supreme human obligation: honoring parents as the oldest, greatest debt, repayable with property, person, and soul, under the watchful eye of Nemesis.","Speaker: Athenian Stranger. -- The hierarchy of honor (Olympians, chthonic gods, daemons, heroes, ancestral gods, parents) reflects standard Greek religious practice systematized for legislative purposes. The distinction between even/odd offerings and first/second quality for underworld vs. heavenly gods is based on actual Greek ritual practice. Nemesis as the guardian of filial piety draws on her traditional role as the goddess who punishes hubris and excess. The three-part service to parents (property, person, soul) creates a comprehensive duty that parallels the Laws' tripartite concern with possessions, bodies, and souls. Compare Republic IV (427b-c) on traditional religious observances and Laws Book 11 (930e-932d) for the formal laws governing treatment of parents."
"4.32","4","32","When they are angry and want to satisfy their feelings in word or deed, he should give way to them; for a father who thinks that he has been wronged by his son may be reasonably expected to be very angry. At their death, the most moderate funeral is best, neither exceeding the customary expense, nor yet falling short of the honour which has been usually shown by the former generation to their parents. And let a man not forget to pay the yearly tribute of respect to the dead, honouring them chiefly by omitting nothing that conduces to a perpetual remembrance of them, and giving a reasonable portion of his fortune to the dead. Doing this, and living after this manner, we shall receive our reward from the Gods and those who are above us [i.e., the demons]; and we shall spend our days for the most part in good hope. And how a man ought to order what relates to his descendants and his kindred and friends and fellow-citizens, and the rites of hospitality taught by Heaven, and the intercourse which arises out of all these duties, with a view to the embellishment and orderly regulation of his own life-these things, I say, the laws, as we proceed with them, will accomplish, partly persuading, and partly when natures do not yield to the persuasion of custom, chastising them by might and right, and will thus render our state, if the Gods co-operate with us, prosperous and happy.","""When they are angry and want to satisfy their feelings in word or deed, he should give way to them; for a father who thinks that he has been wronged by his son may be reasonably expected to be very angry. At their death, the most moderate funeral is best, neither exceeding the customary expense, nor yet falling short of the honour which has been usually shown by the former generation to their parents. And let a man not forget to pay the yearly tribute of respect to the dead, honouring them chiefly by omitting nothing that conduces to a perpetual remembrance of them, and giving a reasonable portion of his fortune to the dead. Doing this, and living after this manner, we shall receive our reward from the Gods and those who are above us [i.e., the demons]; and we shall spend our days for the most part in good hope. And how a man ought to order what relates to his descendants and his kindred and friends and fellow-citizens, and the rites of hospitality taught by Heaven, and the intercourse which arises out of all these duties, with a view to the embellishment and orderly regulation of his own life -- these things, I say, the laws, as we proceed with them, will accomplish, partly persuading, and partly when natures do not yield to the persuasion of custom, chastising them by might and right, and will thus render our state, if the Gods co-operate with us, prosperous and happy.""","""When parents are angry and wish to vent their feelings in word or deed, a child should yield to them. A father who believes he has been wronged by his son can reasonably be expected to be furious.

At their death, the most moderate funeral is best -- neither exceeding the customary expense nor falling short of the honor previous generations have shown their parents. And one must not forget to pay the yearly tribute of respect to the dead, honoring them above all by omitting nothing that serves their perpetual remembrance, and devoting a reasonable portion of one's fortune to their memory.

By living this way, we shall receive our reward from the gods and the daemons who are above us, and we shall pass our days mostly in good hope.

As for how a person should manage relations with descendants, relatives, friends, fellow citizens, and the sacred duties of hospitality, and all the interactions arising from these obligations, with a view to adorning and regulating one's own life -- these matters the laws themselves will address as we develop them. The laws will accomplish this partly through persuasion and partly, when certain natures refuse to yield to the influence of custom, through justified coercion. In this way, if the gods cooperate with us, our state will be made prosperous and happy.""","One should yield to angry parents and give them moderate funerals that match tradition. The yearly tribute of remembrance to the dead must never be neglected. By living this way, we earn the favor of gods and daemons. The remaining duties -- to descendants, kin, friends, citizens, and guests -- the laws will regulate through a combination of persuasion and, when necessary, justified force, rendering the state prosperous and happy with the gods' help.","The Athenian completes the prelude's moral instruction: children must defer to angry parents, provide moderate funerals, and maintain annual remembrance of the dead. The remaining social obligations will be addressed by the laws themselves, which will use persuasion where possible and compulsion where necessary.","The duties to parents extend beyond their death through moderate funerals and perpetual remembrance, while the laws will regulate all remaining social obligations through a combination of persuasion and coercion.","Speaker: Athenian Stranger. -- The principle of yielding to angry parents reflects the Greek value of paternal authority, but the Athenian frames it psychologically (anger at perceived wrong) rather than as absolute deference. The moderation in funerals connects back to the earlier discussion of the mean in 4.36. The combination of persuasion and coercion as the twin instruments of law is the central methodological insight of Book 4, anticipating the formal distinction between legal preludes (persuasion) and legal commands (coercion) developed in 4.37-4.44. Compare Republic III (414b-c) on the noble lie as a form of civic persuasion, and Laws Book 10 (885d-907d) where both persuasion and punishment are deployed against atheism."
"4.33","4","33","But of what has to be said, and must be said by the legislator who is of my way of thinking, and yet, if said in the form of law, would be out of place-of this I think that he may give a sample for the instruction of himself and of those for whom he is legislating; and then when, as far as he is able, he has gone through all the preliminaries, he may proceed to the work of legislation. Now, what will be the form of such prefaces? There may be a difficulty in including or describing them all under a single form, but I think that we may get some notion of them if we can guarantee one thing.

What is that?

I should wish the citizens to be as readily persuaded to virtue as possible; this will surely be the aim of the legislator in all his laws.

Certainly.","""But of what has to be said, and must be said by the legislator who is of my way of thinking, and yet, if said in the form of law, would be out of place -- of this I think that he may give a sample for the instruction of himself and of those for whom he is legislating; and then when, as far as he is able, he has gone through all the preliminaries, he may proceed to the work of legislation. Now, what will be the form of such prefaces? There may be a difficulty in including or describing them all under a single form, but I think that we may get some notion of them if we can guarantee one thing.""

""What is that?""

""I should wish the citizens to be as readily persuaded to virtue as possible; this will surely be the aim of the legislator in all his laws.""

""Certainly.""","""There are things the legislator of my persuasion must say, but which would be out of place if cast in the form of law. Of these, I think he can offer a sample to instruct both himself and the people he is legislating for. Once he has worked through these preliminaries as fully as he can, he may proceed to actual legislation.

Now, what form should such prefaces take? It may be difficult to capture them all under one description, but I think we can get a sense of them if we can establish one thing.""

""What is that?""

""I would want the citizens to be as readily persuaded toward virtue as possible. Surely that will be the legislator's aim in all his laws.""

""Certainly.""","Some things the legislator must say cannot properly take the form of law -- they serve as prefaces that prepare citizens to receive legislation willingly. The aim of such prefaces is simple: to make citizens as readily persuadable toward virtue as possible.","The Athenian introduces the concept of legislative prefaces: things the lawgiver must communicate that do not belong in the laws themselves but prepare citizens to accept legislation. The single aim of all such prefaces is to make citizens receptive to virtue.","The legislator needs prefaces to law -- persuasive preliminaries that prepare citizens' souls to receive legal commands with willingness rather than resistance.","Speakers: Athenian Stranger and Cleinias. -- This passage marks the transition from the content of the prelude to a theoretical reflection on the nature and function of preludes themselves. The concept of legislative preambles (prooimia) is one of the Laws' most original contributions to political philosophy. No previous Greek thinker had systematically theorized the distinction between the persuasive and coercive functions of law. The insight that citizens must be prepared to receive laws willingly connects to the broader Platonic theme that true compliance comes from understanding rather than fear -- paralleling the Republic's distinction between the education of guardians (Books II-III) and the enforcement of rules."
"4.34","4","34","The proposal appears to me to be of some value; and I think that a person will listen with more gentleness and good-will to the precepts addressed to him by the legislator, when his soul is not altogether unprepared to receive them. Even a little done in the way of conciliation gains his ear, and is always worth having. For there is no great inclination or readiness on the part of mankind to be made as good, or as quickly good, as possible. The case of the many proves the wisdom of Hesiod, who says that the road to wickedness is smooth and can be travelled without perspiring, because it is so very short:","""The proposal appears to me to be of some value; and I think that a person will listen with more gentleness and good-will to the precepts addressed to him by the legislator, when his soul is not altogether unprepared to receive them. Even a little done in the way of conciliation gains his ear, and is always worth having. For there is no great inclination or readiness on the part of mankind to be made as good, or as quickly good, as possible. The case of the many proves the wisdom of Hesiod, who says that the road to wickedness is smooth and can be travelled without perspiring, because it is so very short:""","""This proposal seems valuable to me. A person will listen with greater gentleness and goodwill to the legislator's precepts when his soul is not entirely unprepared to receive them. Even a small effort at conciliation wins his ear and is always worthwhile.

For human beings have no great natural inclination or eagerness to become as good, or as quickly good, as possible. The behavior of the majority confirms the wisdom of Hesiod, who says that the road to wickedness is smooth and can be traveled without breaking a sweat, because it is so very short:""","A person listens with greater gentleness when his soul has been prepared to receive the legislator's precepts. Even slight conciliation wins the ear and is always worthwhile. Humans have no natural eagerness to become good quickly -- confirming Hesiod's observation that the road to wickedness is smooth and short.","The Athenian argues that even modest efforts to prepare citizens' souls through persuasion make a significant difference, since people have no natural eagerness to become virtuous. He quotes Hesiod on the ease of wickedness to illustrate the uphill nature of moral improvement.","Even small efforts at persuasion prepare the soul to receive law with goodwill, which matters because humans have no natural eagerness for virtue -- the road to wickedness is smooth and short.","Speaker: Athenian Stranger. -- The Hesiod quotation is from Works and Days (287-289), one of the most frequently cited passages in Greek ethical thought. Plato uses it to ground his theory of legislative preambles in a realistic assessment of human nature: because virtue does not come naturally or easily, persuasion must do the preparatory work that coercion alone cannot accomplish. This realism distinguishes the Laws from the more idealistic Republic, which relies on a comprehensive education system to produce virtuous guardians. The concept of the soul being ""not altogether unprepared"" suggests degrees of readiness -- the preamble does not create virtue but removes obstacles to its reception."
"4.35","4","35","But before virtue the immortal Gods have placed the sweat of labour, and long and steep is the way thither, and rugged at first; but when you have reached the top, although difficult before, it is then easy.

Yes; and he certainly speaks well.

Very true: and now let me tell you the effect which the preceding discourse has had upon me.

Proceed.

Suppose that we have a little conversation with the legislator, and say to him-""O, legislator, speak; if you know what we ought to say and do, you can surely tell.""

Of course he can.

""Did we not hear you just now saying, that the legislator ought not to allow the poets to do what they liked? For that they would not know in which of their words they went against the laws, to the hurt of the state.""

That is true.

May we not fairly make answer to him on behalf of the poets?

What answer shall we make to him?","""But before virtue the immortal Gods have placed the sweat of labour, and long and steep is the way thither, and rugged at first; but when you have reached the top, although difficult before, it is then easy.""

""Yes; and he certainly speaks well.""

""Very true: and now let me tell you the effect which the preceding discourse has had upon me.""

""Proceed.""

""Suppose that we have a little conversation with the legislator, and say to him -- 'O, legislator, speak; if you know what we ought to say and do, you can surely tell.'""

""Of course he can.""

""'Did we not hear you just now saying, that the legislator ought not to allow the poets to do what they liked? For that they would not know in which of their words they went against the laws, to the hurt of the state.'""

""That is true.""

""May we not fairly make answer to him on behalf of the poets?""

""What answer shall we make to him?""","""'But before virtue the immortal gods have placed the sweat of labor, and long and steep is the way to it, and rough at first; yet once you reach the summit, what was difficult becomes easy.'""

""Yes, and Hesiod certainly speaks well.""

""Indeed he does. Now let me tell you the effect our preceding discussion has had on me.""

""Go on.""

""Imagine that we approach the legislator and say: 'Legislator, speak to us. If you know what we ought to say and do, surely you can tell us.'""

""Of course he can.""

""'Did we not just hear you say that the legislator ought not to let poets do as they please, because they would not know which of their words violated the laws and harmed the state?'""

""That is true.""

""Then may we fairly offer a response on the poets' behalf?""

""What response shall we give?""","Hesiod's words confirm that virtue requires labor and a steep, rough climb, though it becomes easy at the summit. This prompts a question for the legislator: if poets must be restrained because they do not know when their words harm the state, may someone speak in the poets' defense?","The Athenian completes the Hesiod quotation about virtue's difficult path, then pivots to a hypothetical conversation with the legislator about the restriction of poets. If poets are to be controlled because they unknowingly violate laws, the Athenian proposes to speak in their defense.","Having established that virtue's path is steep though rewarding, the Athenian sets up a defense of the poets against the legislator's impulse to restrict them.","Speakers: Athenian Stranger and Cleinias. -- The Hesiod quotation continues from Works and Days (289-292). The shift to discussing poets and the legislator connects back to Laws Book 2 (656c-660a) on the regulation of poetry and music, and more broadly to Republic II-III (376e-398b) and X (595a-608b) where poets are subjected to strict censorship. The Athenian's proposal to speak ""on behalf of the poets"" is surprising given Plato's reputation for hostility to poetry, but the argument will ultimately serve to distinguish the poet's freedom from the legislator's responsibility -- the poet may contradict himself, but the legislator cannot."
"4.36","4","36","That the poet, according to the tradition which has ever prevailed among us, and is accepted of all men, when he sits down on the tripod of the muse, is not in his right mind; like a fountain, he allows to flow out freely whatever comes in, and his art being imitative, he is often compelled to represent men of opposite dispositions, and thus to contradict himself; neither can he tell whether there is more truth in one thing that he has said than in another. this is not the case in a law; the legislator must give not two rules about the same thing, but one only. Take an example from what you have just been saying. Of three kinds of funerals, there is one which is too extravagant, another is too niggardly, the third is a mean; and you choose and approve and order the last without qualification. But if I had an extremely rich wife, and she bade me bury her and describe her burial in a poem, I should praise the extravagant sort; and a poor miserly man, who had not much money to spend, would approve of the niggardly; and the man of moderate means, who was himself moderate, would praise a moderate funeral. Now you in the capacity of legislator must not barely say ""a moderate funeral,"" but you must define what moderation is, and how much; unless you are definite, you must not suppose that you are speaking a language that can become law.

Certainly not.","""That the poet, according to the tradition which has ever prevailed among us, and is accepted of all men, when he sits down on the tripod of the muse, is not in his right mind; like a fountain, he allows to flow out freely whatever comes in, and his art being imitative, he is often compelled to represent men of opposite dispositions, and thus to contradict himself; neither can he tell whether there is more truth in one thing that he has said than in another. This is not the case in a law; the legislator must give not two rules about the same thing, but one only. Take an example from what you have just been saying. Of three kinds of funerals, there is one which is too extravagant, another is too niggardly, the third is a mean; and you choose and approve and order the last without qualification. But if I had an extremely rich wife, and she bade me bury her and describe her burial in a poem, I should praise the extravagant sort; and a poor miserly man, who had not much money to spend, would approve of the niggardly; and the man of moderate means, who was himself moderate, would praise a moderate funeral. Now you in the capacity of legislator must not barely say 'a moderate funeral,' but you must define what moderation is, and how much; unless you are definite, you must not suppose that you are speaking a language that can become law.""

""Certainly not.""","""The poet, according to the tradition that has always prevailed among us and is accepted by everyone, is not in his right mind when he sits upon the tripod of the Muse. Like a fountain, he lets whatever comes in flow freely out. Since his art is imitative, he is often compelled to portray characters of opposite dispositions, and so he contradicts himself. He cannot even say whether one of his statements is truer than another.

This is not how law works. The legislator must give not two rules about the same thing, but one and only one. Take your own example just now. Of three kinds of funeral -- one too extravagant, another too stingy, and a third that is moderate -- you chose and ordered the moderate without qualification. But if I had an extremely wealthy wife who asked me to bury her and describe her burial in a poem, I would praise the extravagant funeral. A poor, miserly man would approve of the cheapest. A man of moderate means and moderate character would praise the moderate funeral.

As a legislator, you cannot simply say 'a moderate funeral.' You must define what moderation is and specify how much. Unless you are precise, do not suppose you are speaking a language that can become law.""

""Certainly not.""","The poet, seated on the Muse's tripod, is not in his right mind -- like a fountain, he pours out whatever comes in and, because his art is imitative, must portray opposite characters and contradict himself. Law is fundamentally different: the legislator must give one rule, not two, about the same thing. It is not enough to prescribe 'moderation' -- the law must define precisely what moderation means and how much it costs, or it is not truly law.","The Athenian contrasts poetry and legislation: the inspired poet contradicts himself because he must represent opposing characters, but the legislator must prescribe exactly one rule for each situation. Laws must be precise and definite -- saying 'be moderate' is not enough without specifying what moderation means in concrete terms.","The poet may contradict himself because inspiration and imitation require it, but the legislator must give one precise, unambiguous rule -- 'be moderate' is not law until moderation is defined.","Speakers: Athenian Stranger and Cleinias. -- The image of the poet on the Muse's tripod, pouring out inspiration like a fountain, closely parallels the Ion (533d-534e), where Socrates describes poets as divinely possessed channels who create without rational understanding. The contrast between poetic ambiguity and legal precision is a major contribution to jurisprudence: law requires determinate content, not suggestive ambiguity. The funeral example cleverly shows how the same word ('moderate') means different things to different people based on their circumstances -- the legislator must resolve this ambiguity into specific prescriptions. This anticipates modern debates about the determinacy of legal language and the need for precise statutory drafting."
"4.37","4","37","And is our legislator to have no preface to his laws, but to say at once Do this, avoid that-and then holding the penalty in terrorem to go on to another law; offering never a word of advice or exhortation to those for whom he is legislating, after the manner of some doctors? For of doctors, as I may remind you, some have a gentler, others a ruder method of cure; and as children ask the doctor to be gentle with them, so we will ask the legislator to cure our disorders with the gentlest remedies. What I mean to say is, that besides doctors there are doctors' servants, who are also styled doctors.","""And is our legislator to have no preface to his laws, but to say at once Do this, avoid that -- and then holding the penalty in terrorem to go on to another law; offering never a word of advice or exhortation to those for whom he is legislating, after the manner of some doctors? For of doctors, as I may remind you, some have a gentler, others a ruder method of cure; and as children ask the doctor to be gentle with them, so we will ask the legislator to cure our disorders with the gentlest remedies. What I mean to say is, that besides doctors there are doctors' servants, who are also styled doctors.""","""Should our legislator offer no preface to his laws, but simply say 'Do this, avoid that,' then hold the threat of punishment over the listener and move on to the next law -- never offering a word of advice or encouragement to those he is legislating for? That would be the manner of certain doctors. For as I may remind you, some doctors have a gentler method of treatment, and others a harsher one. Just as children ask their doctor to be gentle, so we will ask the legislator to cure our social disorders with the gentlest remedies possible.

What I mean to say is this: besides doctors in the full sense, there are doctors' assistants, who are also called doctors.""","Should the legislator simply issue commands and threats without any preface of advice or encouragement -- like the harshest kind of doctor? Just as children ask the doctor to be gentle, we should ask the legislator to cure civic disorders with the gentlest remedies. There are two kinds of doctors, and the distinction illuminates legislation.","The Athenian asks whether the legislator should issue bare commands backed by penalties, or first offer advice and encouragement. He introduces the analogy of two kinds of doctors -- one gentle, one harsh -- to argue that laws should be preceded by persuasive prefaces.","The legislator should not merely command and threaten but should preface laws with persuasive counsel, just as a good doctor uses gentle methods before harsh ones.","Speaker: Athenian Stranger. -- The medical analogy is one of the most important in the Laws and provides the theoretical foundation for the doctrine of legislative preambles. The distinction between doctors and doctors' servants (or assistants) maps onto the distinction between legislation with preambles (the freeman's doctor) and legislation without (the slave's doctor), developed fully in 4.38-4.39. In terrorem -- using threats to deter -- describes the punitive-only approach to law that the Athenian rejects. The medical metaphor for political care appears throughout Plato: Republic I (341c-342e) compares the ruler's art to the doctor's, and the Gorgias (464b-466a) distinguishes genuine medicine from flattery."
"4.38","4","38","Very true.

And whether they are slaves or freemen makes no difference; they acquire their knowledge of medicine by obeying and observing their masters; empirically and not according to the natural way of learning, as the manner of freemen is, who have learned scientifically themselves the art which they impart scientifically to their pupils. You are aware that there are these two classes of doctors?

To be sure.","""Very true.""

""And whether they are slaves or freemen makes no difference; they acquire their knowledge of medicine by obeying and observing their masters; empirically and not according to the natural way of learning, as the manner of freemen is, who have learned scientifically themselves the art which they impart scientifically to their pupils. You are aware that there are these two classes of doctors?""

""To be sure.""","""Very true.""

""Whether these assistants are slaves or free men makes no difference: they acquire their medical knowledge by obeying and observing their masters -- empirically, not through the natural method of learning that free men follow, who learn the art scientifically themselves and impart it scientifically to their students. You are aware that there are these two classes of doctors?""

""Of course.""","Medical assistants, whether slave or free, learn empirically by observing their masters rather than through systematic scientific understanding. This creates two fundamentally different classes of doctors: those who understand the principles of their art and those who merely follow experience.","The Athenian distinguishes two classes of doctors: those who learn medicine scientifically and teach it systematically, and assistants who learn only by empirical observation of their masters. The distinction is not about social status but about depth of understanding.","The two classes of doctors are distinguished not by social status but by method of learning: scientific understanding versus mere empirical imitation.","Speakers: Cleinias and Athenian Stranger. -- The distinction between empirical and scientific knowledge is fundamental to Greek epistemology. Aristotle develops it extensively in Metaphysics I.1 (981a-b), distinguishing experience (empeiria) from art (techne) and science (episteme). The claim that the assistants' knowledge is merely empirical -- based on habit and observation rather than understanding of causes -- parallels the Gorgias's distinction between genuine arts and empirical knacks (empeiriai, 462b-465d). The phrase ""natural way of learning"" (kata physin) implies that scientific understanding, not rote imitation, is how free minds properly acquire knowledge."
"4.39","4","39","And did you ever observe that there are two classes of patients in states, slaves and freemen; and the slave doctors run about and cure the slaves, or wait for them in the dispensaries-practitioners of this sort never talk to their patients individually, or let them talk about their own individual complaints? The slave doctor prescribes what mere experience suggests, as if he had exact knowledge; and when he has given his orders, like a tyrant, he rushes off with equal assurance to some other servant who is ill; and so he relieves the master of the house of the care of his invalid slaves. But the other doctor, who is a freeman, attends and practises upon freemen; and he carries his enquiries far back, and goes into the nature of the disorder; he enters into discourse with the patient and with his friends, and is at once getting information from the sick man, and also instructing him as far as he is able, and he will not prescribe for him until he has first convinced him; at last, when he has brought the patient more and more under his persuasive influences and set him on the road to health, he attempts to effect a cure. Now which is the better way of proceeding in a physician and in a trainer? Is he the better who accomplishes his ends in a double way, or he who works in one way, and that the ruder and inferior?","""And did you ever observe that there are two classes of patients in states, slaves and freemen; and the slave doctors run about and cure the slaves, or wait for them in the dispensaries -- practitioners of this sort never talk to their patients individually, or let them talk about their own individual complaints? The slave doctor prescribes what mere experience suggests, as if he had exact knowledge; and when he has given his orders, like a tyrant, he rushes off with equal assurance to some other servant who is ill; and so he relieves the master of the house of the care of his invalid slaves. But the other doctor, who is a freeman, attends and practises upon freemen; and he carries his enquiries far back, and goes into the nature of the disorder; he enters into discourse with the patient and with his friends, and is at once getting information from the sick man, and also instructing him as far as he is able, and he will not prescribe for him until he has first convinced him; at last, when he has brought the patient more and more under his persuasive influences and set him on the road to health, he attempts to effect a cure. Now which is the better way of proceeding in a physician and in a trainer? Is he the better who accomplishes his ends in a double way, or he who works in one way, and that the ruder and inferior?""","""Have you ever noticed that there are also two classes of patients in states -- slaves and free people? The slave doctors rush about treating slaves, or wait for them at dispensaries. These practitioners never speak with their patients individually or let patients describe their own complaints. The slave doctor prescribes whatever his experience suggests, as if he possessed exact knowledge. Once he has given his orders, like a tyrant, he dashes off with equal confidence to the next sick servant, relieving the master of the household from worrying about his ailing slaves.

But the other doctor -- a free man -- attends to free patients. He traces his inquiries far back and investigates the nature of the disorder. He enters into conversation with the patient and the patient's family, simultaneously gathering information from the sick person and instructing him as much as he can. He will not prescribe until he has first convinced the patient. Only after he has progressively won the patient over through persuasion and set him on the road to recovery does he attempt the actual cure.

Now, which is the better method for a doctor or a trainer? The one who achieves his aims through both persuasion and prescription, or the one who uses only the harsher, inferior method?""","The slave doctor rushes from patient to patient, prescribing by rote experience like a tyrant, never speaking with patients or hearing their complaints. The free doctor traces the disorder to its root, converses with the patient and family, gathers information and gives instruction, and prescribes nothing until he has first convinced the patient. Only then does he attempt the cure. The double method -- persuasion joined with prescription -- is clearly superior to command alone.","The Athenian contrasts two medical practices: the slave doctor who prescribes tyrannically by experience alone, and the free doctor who investigates, converses, instructs, and convinces before prescribing. The free doctor's 'double method' of persuasion plus treatment is presented as clearly superior.","The free doctor who converses, investigates, and persuades before prescribing is superior to the slave doctor who commands by rote -- establishing persuasion-plus-authority as the model for legislation.","Speaker: Athenian Stranger. -- This passage is the centerpiece of the Laws' argument for legislative preambles. The slave doctor functions as a metaphor for law-as-command (the coercive approach), while the free doctor represents law-with-preamble (the persuasive approach). The comparison of the slave doctor to a tyrant explicitly links the coercive style of legislation to tyrannical governance. The free doctor's method -- inquiry, conversation, instruction, conviction, then prescription -- maps onto the ideal legislative process: understand the situation, explain the reasoning, persuade the citizen, then command. This passage has been influential in legal philosophy, particularly in discussions of the expressive function of law and the role of reasons in legitimating legal authority. Compare Gorgias (464b-466a) on the distinction between genuine arts and flattery."
"4.40","4","40","I should say, Stranger, that the double way is far better.

Should you like to see an example of the double and single method in legislation?

Certainly I should.

What will be our first law? Will not the the order of nature, begin by making regulations for states about births?

He will.

In all states the birth of children goes back to the connection of marriage?

Very true.

And, according to the true order, the laws relating to marriage should be those which are first determined in every state?

Quite so.","""I should say, Stranger, that the double way is far better.""

""Should you like to see an example of the double and single method in legislation?""

""Certainly I should.""

""What will be our first law? Will not the order of nature, begin by making regulations for states about births?""

""He will.""

""In all states the birth of children goes back to the connection of marriage?""

""Very true.""

""And, according to the true order, the laws relating to marriage should be those which are first determined in every state?""

""Quite so.""","""I would say, Stranger, that the double method is far better.""

""Would you like to see an example of both the double and single method applied to legislation?""

""I certainly would.""

""What will be our first law? Will the legislator not follow the order of nature and begin with regulations about births?""

""He will.""

""In every state, the birth of children traces back to the institution of marriage?""

""Very true.""

""And according to the natural order, the laws governing marriage should be the first ones established in any state?""

""Exactly so.""","Cleinias affirms that the double method -- persuasion combined with command -- is far superior. They agree to demonstrate it with the first law any state should establish: following the order of nature, legislation must begin with marriage, since all births trace back to it.","Cleinias agrees that the double method of persuasion plus command is superior. The Athenian proposes demonstrating both methods with the first law any state should enact: marriage law, since the natural order begins with births, which originate in marriage.","Having established the superiority of persuasion combined with command, the Athenian proposes to demonstrate both methods using marriage law -- the first law the natural order requires.","Speakers: Cleinias and Athenian Stranger. -- The choice to begin legislation with marriage follows what the Athenian calls ""the order of nature"" (kata physin): since the city's fundamental need is for citizens, and citizens come from births, and births from marriages, marriage law logically comes first. This naturalistic approach to legislative ordering contrasts with the Republic's more radical treatment of marriage and reproduction among the guardian class (Republic V, 457c-461e), where marriages are arranged by the state for eugenic purposes. The Laws takes a more conventional approach, working within existing social institutions while reforming them. Beginning with marriage also echoes actual Greek legislative traditions, as many cities' law codes began with family law."
