"Index","Chapter","Thought","D: Original","D: Refashioned","D: Elegant","D: Distilled","Notes"
"1.12","1","12","The philosopher Yu said, 'In practising the rules of propriety, a natural ease is to be prized. In the ways prescribed by the ancient kings, this is the excellent quality, and in things small and great we follow them.
'Yet it is not to be observed in all cases. If one, knowing how such ease should be prized, manifests it, without regulating it by the rules of propriety, this likewise is not to be done.'","The philosopher You Ruo said, ""In practicing the rules of propriety, what matters most is natural ease. This is what made the ways of the ancient kings excellent — it guided them in matters great and small.
""Yet ease alone is not enough. If someone pursues naturalness without grounding it in propriety, that too goes wrong.""","Ritual should feel natural, not forced. But naturalness without ritual becomes chaos. The balance is the art.","Propriety without ease becomes rigid; ease without propriety becomes disorder — the goal is harmony between the two.","Li (ritual propriety) and its relationship to naturalness. You Ruo argues for the Golden Mean — neither stiff formalism nor undisciplined spontaneity. Connects to FUALL's concept of Right: structure that enables rather than constrains. Also connects to Aristotle's doctrine of the mean — virtue as the balance between extremes."
"1.13","1","13","The philosopher Yu said, 'When agreements are made according to what is right, what is spoken can be made good. When respect is shown according to what is proper, one keeps far from shame and disgrace. When the parties upon whom a man leans are proper persons to be intimate with, he can make them his guides and masters.'","The philosopher You Ruo said, ""When agreements are grounded in what is right, promises can be kept. When respect is guided by what is proper, one avoids shame. When the people you rely on are worthy of trust, they can serve as your guides.""","Agreements rooted in justice can be honored. Respect guided by propriety avoids disgrace. Worthy companions become true guides.","Commitments should be grounded in righteousness, respect in propriety, and trust in the character of those you rely on.","Yi (righteousness) as the foundation of reliable agreements. Li (propriety) as the guard against disgrace. The third principle: choose your dependencies wisely. Connects to FUALL's framework: Right (Yi) provides the standard by which social conduct (Li) is judged."
"1.14","1","14","The Master said, 'He who aims to be a man of complete virtue in his food does not seek to gratify his appetite, nor in his dwelling place does he seek the appliances of ease; he is earnest in what he is doing, and careful in his speech; he frequents the company of men of principle that he may be rectified:-- such a person may be said indeed to love to learn.'","The Master said, ""The person who aspires to be a Junzi does not chase fine food or comfortable living. They are diligent in their work and careful with their words. They seek out people of principle to correct and improve themselves. Such a person can truly be said to love learning.""","The cultivated person doesn't chase comfort or luxury. They work hard, speak carefully, and seek correction from those with principle. That is what it means to love learning.","Loving learning means choosing discipline over comfort, careful speech over careless talk, and principled company over easy company.","Junzi (the cultivated/superior person) — the aspirational model of Confucian education. The passage defines the Junzi not by achievement but by orientation: toward discipline, precision, and self-correction. Connects to FUALL's Paideia and the Academy institution — learning as a lifelong moral discipline, not a credential to acquire."
"1.15","1","15","Tsze-kung said, 'What do you pronounce concerning the poor man who yet does not flatter, and the rich man who is not proud?' The Master replied, 'They will do; but they are not equal to him, who, though poor, is yet cheerful, and to him, who, though rich, loves the rules of propriety.'
Tsze-kung replied, 'It is said in the Book of Poetry, ""As you cut and then file, as you carve and then polish.""-- The meaning is the same, I apprehend, as that which you have just expressed.'
The Master said, 'With one like Ts'ze, I can begin to talk about the odes. I told him one point, and he knew its proper sequence.'","Zigong asked, ""What do you think of a poor person who does not grovel, or a rich person who is not arrogant?"" The Master said, ""That is decent. But they are not equal to the poor person who is genuinely cheerful, or the rich person who truly loves propriety.""
Zigong said, ""The Book of Poetry says, 'As you cut and file, as you carve and polish' — is this what you mean?"" The Master said, ""Now I can begin discussing the Odes with you, Ci. I tell you one thing, and you see what follows.""","Not groveling in poverty and not preening in wealth — decent enough. But the poor person who finds joy and the rich one who loves propriety have gone further. That's the difference between resisting vice and cultivating virtue.","Merely avoiding the vices of your station falls short — true virtue means cultivating positive qualities regardless of circumstance.","Zigong's intellectual agility pleases Confucius — he can extrapolate from a single point. The Book of Poetry (Shi Jing) reference is Ode 55 (Wei Feng), about the refinement of jade. The metaphor: character, like jade, requires active polishing, not merely avoiding damage. Connects to FUALL's distinction between negative virtue (avoiding wrong) and positive virtue (actively cultivating Right)."
"1.16","1","16","The Master said, 'I will not be afflicted at men's not knowing me; I will be afflicted that I do not know men.'","The Master said, ""Do not worry that others don't recognize you. Worry that you don't yet recognize others.""","Don't lament being unknown. Lament failing to know others.","The real failure is not being unrecognized but being unable to see the worth in others.","Bookend to 1.1's third line — returns to the theme of equanimity about recognition. The inversion: stop worrying about your reputation and start developing the discernment to understand others. Connects to FUALL's Zhi (wisdom) — the capacity to perceive Reality clearly, including the reality of other people."
"","2","","<b>Book 2: Wei Chang (Government)</b>","","","",""
"2.1","2","17","The Master said, 'He who exercises government by means of his virtue may be compared to the north polar star, which keeps its place and all the stars turn towards it.'","The Master said, ""A leader who governs through personal virtue is like the North Star — they hold their position, and everything else naturally orients around them.""","Govern by virtue, and you become the pole star — still, while all else turns toward you.","Virtuous leadership creates natural authority that draws others into alignment without force.","Opens Book 2 (Government) with Confucius's central political claim: moral authority is more effective than coercive power. The North Star (Polaris) metaphor: the leader who embodies Dao doesn't need to chase compliance. Connects to FUALL's 4 Domains of Power — the argument that ideational authority (earned through virtue) is superior to physical, resource, or social coercion."
"2.2","2","18","The Master said, 'In the Book of Poetry are three hundred pieces, but the design of them all may be embraced in one sentence-- ""Having no depraved thoughts.""'","The Master said, ""The Book of Poetry contains three hundred pieces, but the essence of them all can be captured in one phrase: 'Think no crooked thoughts.'""","Three hundred poems, one lesson: think without crookedness.","All great literature points toward the same thing — sincerity of thought.","Shi Jing (Book of Poetry/Book of Songs) — one of the Five Classics, compiled c. 600 BCE, containing 305 poems. Confucius reportedly selected and edited the collection. The phrase 'having no depraved thoughts' (si wu xie) comes from Ode 297 (Lu Song). Connects to FUALL's concept of the Academy — canonical texts as vehicles for moral formation."
"2.3","2","19","The Master said, 'If the people be led by laws, and uniformity sought to be given them by punishments, they will try to avoid the punishment, but have no sense of shame.
'If they be led by virtue, and uniformity sought to be given them by the rules of propriety, they will have the sense of shame, and moreover will become good.'","The Master said, ""If you lead people with laws and keep them in line with punishments, they will try to avoid penalties but will have no sense of shame.
""If you lead with virtue and guide them through propriety, they will develop a sense of shame and moreover will genuinely improve.""","Rule by punishment, and people learn only to evade it. Lead by virtue and propriety, and they learn to hold themselves to a standard.","Laws compel compliance; virtue cultivates conscience — and only conscience produces genuine goodness.","Central Confucian political philosophy: Li (ritual propriety) and De (virtue) are more effective governance tools than Fa (law/punishment). This directly opposes the Legalist school (Han Fei, Shang Yang) which argued for governance through strict law and punishment. Connects to FUALL's Right pillar — the argument that shared moral norms are more durable than coercive enforcement."
"2.4","2","20","The Master said, 'At fifteen, I had my mind bent on learning.
'At thirty, I stood firm.
'At forty, I had no doubts.
'At fifty, I knew the decrees of Heaven.
'At sixty, my ear was an obedient organ for the reception of truth.
'At seventy, I could follow what my heart desired, without transgressing what was right.'","The Master said, ""At fifteen, I committed myself to learning.
At thirty, I had found my footing.
At forty, I was no longer confused by competing claims.
At fifty, I understood what was beyond my control.
At sixty, I could hear any perspective without being thrown off balance.
At seventy, I could follow my instincts without overstepping what was right.""","Fifteen: devoted to learning. Thirty: steady. Forty: clear. Fifty: reconciled to fate. Sixty: open to all truths. Seventy: free — desire and duty finally aligned.","Moral maturity is a lifelong arc from committed learning to the point where instinct and virtue become indistinguishable.","Confucius's spiritual autobiography — one of the most famous passages in Chinese literature. 'The decrees of Heaven' (Tian Ming) = what is given, not chosen — fate, natural endowment, the limits of human agency. The trajectory: discipline → stability → clarity → acceptance → receptivity → freedom. Connects to FUALL's Wisdom framework — the integration of Reality (acceptance of what is), Reason (clarity), and Right (ethical conduct)."
"2.5","2","21","Mang I asked what filial piety was. The Master said, 'It is not being disobedient.'
Soon after, as Fan Ch'ih was driving him, the Master told him, saying, 'Mang-sun asked me what filial piety was, and I answered him,-- ""not being disobedient.""'
Fan Ch'ih said, 'What did you mean?' The Master replied, 'That parents, when alive, be served according to propriety; that, when dead, they should be buried according to propriety; and that they should be sacrificed to according to propriety.'","Meng Yi asked about filial piety. The Master said, ""It means not being disobedient.""
Later, as Fan Chi was driving the Master's chariot, Confucius told him, ""Meng Yi asked me about filial piety, and I said: 'Not being disobedient.'""
Fan Chi asked, ""What did you mean?"" The Master said, ""When your parents are alive, serve them according to propriety. When they die, bury them according to propriety. Honor their memory according to propriety.""","Filial piety is not disobedience — but not mere obedience either. It means serving the living and honoring the dead according to what is proper, not merely what is convenient.","True filial devotion means honoring your parents through right conduct in life, proper rites in death, and reverent remembrance after.","Meng Yi (Mang I) — head of the Mengsun clan, one of the Three Families dominating Lu. Confucius gives him a deliberately terse answer, then unpacks it privately. The 'disobedience' is not to parents but to Li (propriety) — the key insight. Xiao (filial piety) is not blind obedience but conduct guided by principle. Connects to FUALL's Temple institution — ritual as the practical mechanism of Right."
"2.6","2","22","Mang Wu asked what filial piety was. The Master said, 'Parents are anxious lest their children should be sick.'","Meng Wu asked about filial piety. The Master said, ""Give your parents no cause for worry beyond concern for your health.""","The only anxiety your parents should have about you is whether you are well.","True filial piety means living so well that your parents' only worry is your health.","Meng Wu (Mang Wu) — son of Meng Yi (2.5). The answer is tailored to the questioner, as Confucius typically does. The implication: if you live rightly, your parents have nothing to fear except what they cannot control — illness and mortality. Xiao adapted to circumstance."
"2.7","2","23","Tsze-yu asked what filial piety was. The Master said, 'The filial piety of now-a-days means the support of one's parents. But dogs and horses likewise are able to do something in the way of support;-- without reverence, what is there to distinguish the one support given from the other?'","Ziyu asked about filial piety. The Master said, ""These days people think filial piety just means providing for their parents' material needs. But we provide food and shelter for dogs and horses too. Without genuine reverence, what's the difference?""","You feed your parents — but you feed your animals, too. Without reverence, what distinguishes the one from the other?","Material support without genuine reverence is not filial piety — it is maintenance.","Ziyu (Tsze-yu, Yan Yan) — disciple known for his literary gifts. Confucius's sharpest statement on Xiao: the distinction between care and reverence. Mere provision is animal behavior; human obligation requires emotional and spiritual depth. Connects to FUALL's hierarchy of values — material sufficiency is necessary but not sufficient for Right conduct."
"2.8","2","24","Tsze-hsia asked what filial piety was. The Master said, 'The difficulty is with the countenance. If, when their elders have any troublesome affairs, the young take the toil of them, and if, when the young have wine and food, they set them before their elders, is THIS to be considered filial piety?'","Zixia asked about filial piety. The Master said, ""The hardest part is maintaining the right attitude. If the young do the heavy work and serve food and wine to their elders, is that really filial piety? The demeanor — that is what matters.""","Doing the labor and serving the food is easy. Keeping a genuinely warm countenance while doing it — that is the real test of devotion.","Filial piety is tested not by what you do for your parents but by the spirit in which you do it.","Zixia (Bu Shang). Four consecutive passages (2.5-2.8) on Xiao, each tailored to a different questioner. The 'difficulty with the countenance' (se nan) — maintaining genuine warmth rather than dutiful resentment. Connects to FUALL: the difference between performing a virtue and embodying it."
"2.9","2","25","The Master said, 'I have talked with Hui for a whole day, and he has not made any objection to anything I said;-- as if he were stupid. He has retired, and I have examined his conduct when away from me, and found him able to illustrate my teachings. Hui!-- He is not stupid.'","The Master said, ""I have spent whole days talking with Yan Hui, and he never raised a single objection — as if he were slow-witted. But when I observed his private conduct afterward, I found him fully capable of applying and illustrating my teachings. Hui is not slow at all.""","Hui never objects, never questions — he seems slow. But watch what he does with what he hears. Hui is not slow at all.","Deep understanding shows itself not in argument but in application.","Yan Hui (Yan Yuan, 521-481 BCE) — Confucius's favorite disciple, who died young (see 6.2, 11.8-10). His receptive silence is not passivity but depth. Confucius initially misjudges appearance for substance — then corrects himself. Connects to FUALL's Wisdom concept: understanding proven by conduct, not by verbal display."
"2.10","2","26","The Master said, 'See what a man does.
'Mark his motives.
'Examine in what things he rests.
'How can a man conceal his character?
How can a man conceal his character?'","The Master said, ""Observe what a person does.
Examine their motives.
Note what gives them satisfaction.
How then can anyone hide their true character? How can anyone hide their true character?""","Watch what they do. Ask why. See what satisfies them. Character cannot hide.","A person's true character is revealed by the intersection of their actions, motives, and sources of contentment.","A method for reading character — three layers of observation: actions (visible), motives (inferred), and what brings them rest/satisfaction (deepest). The repetition of the final line emphasizes certainty. Connects to FUALL's Reality pillar — seeing things as they actually are, including people. Parallels Socratic elenchus as a method of revealing character through questioning."
"2.11","2","27","The Master said, 'If a man keeps cherishing his old knowledge, so as continually to be acquiring new, he may be a teacher of others.'","The Master said, ""A person who keeps their existing knowledge alive while continually acquiring new understanding — that person can teach others.""","Renew the old, pursue the new — then you can teach.","The teacher is someone who keeps old knowledge alive while always acquiring new understanding.","Wen gu zhi xin — 'reviewing the old to know the new.' One of the most quoted Confucian educational principles. The teacher is not merely a repository but a living synthesizer. Connects to FUALL's Academy institution and the transmission concept — the teacher's role is to make inherited wisdom relevant to present circumstances."
"2.12","2","28","The Master said, 'The accomplished scholar is not a utensil.'","The Master said, ""The truly educated person is not a mere tool.""","The cultivated person is not a utensil — useful for one thing, blind to all others.","True education produces versatile judgment, not narrow specialization.","Junzi bu qi — the Junzi is not a vessel/utensil. A qi (utensil) has a single fixed function. The Junzi should be capable of adaptive judgment across domains. This is the Confucian case against over-specialization. Connects directly to FUALL's Guilds institution and the critique of modern education as vocational training rather than whole-person formation."
"2.13","2","29","Tsze-kung asked what constituted the superior man. The Master said, 'He acts before he speaks, and afterwards speaks according to his actions.'","Zigong asked what makes a cultivated person. The Master said, ""They act first and speak about it afterward.""","The Junzi acts before speaking, then lets the actions speak.","Let your conduct precede your claims — say what you have done, not what you will do.","Junzi definition continued. Xian xing qi yan — 'first act, then speak.' The principle inverts the common pattern of promises followed by excuses. Connects to 4.22 and 4.24 — the Confucian emphasis on speech as a moral act that must be backed by conduct."
"2.14","2","30","The Master said, 'The superior man is catholic and no partisan. The mean man is partisan and not catholic.'","The Master said, ""The cultivated person is inclusive, not factional. The small-minded person is factional, not inclusive.""","The Junzi unites without excluding. The small person excludes without uniting.","Breadth of sympathy without partisan loyalty defines the cultivated person; the reverse defines the petty one.","Zhou er bu bi (inclusive, not partisan) vs. bi er bu zhou (partisan, not inclusive). One of the sharpest Junzi/Xiaoren (superior/petty person) contrasts. Connects to FUALL's political spectrum framework — the critique of partisan identity as a substitute for principled judgment."
"2.15","2","31","The Master said, 'Learning without thought is labour lost; thought without learning is perilous.'","The Master said, ""Learning without thinking is wasted effort. Thinking without learning is dangerous.""","Study without thought is blind. Thought without study is reckless.","Learning and thinking are inseparable — one without the other is either wasted effort or dangerous speculation.","Xue er bu si ze wang, si er bu xue ze dai — one of the most quoted passages in the Analects. Learning (Xue) without reflection (Si) produces rote knowledge; reflection without learning produces unfounded speculation. Connects to FUALL's Wisdom = Reality + Reason + Right: all three must be integrated. Also connects to the Academy/Lab distinction — pure theory vs. pure empiricism are both insufficient."
"2.16","2","32","The Master said, 'The study of strange doctrines is injurious indeed!'","The Master said, ""Pursuing strange and unorthodox doctrines does real damage.""","Chasing exotic doctrines does more harm than good.","Intellectual novelty-seeking that abandons proven foundations is genuinely harmful.","Yi duan — 'heterodox/strange doctrines.' Confucius is conservative in the specific sense: he values the proven transmission of the Zhou cultural inheritance over untested innovations. This is not anti-intellectual but anti-faddish — prioritize what has been tested by time. Connects to FUALL's transmission theme and the danger of abandoning foundational wisdom for novelty."
"2.17","2","33","The Master said, 'Yu, shall I teach you what knowledge is? When you know a thing, to hold that you know it; and when you do not know a thing, to allow that you do not know it;-- this is knowledge.'","Zizhang was studying with an eye toward securing an official position.
The Master said, ""Listen widely and set aside what is doubtful; speak cautiously about the rest — then you will give few occasions for blame. Observe widely and set aside what seems risky; act cautiously on the rest — then you will have few occasions for regret. Few occasions for blame in your words, few occasions for regret in your conduct — and the position will take care of itself.""","Hear much, speak cautiously on what you trust. See much, act cautiously on what you understand. Minimize blame and regret, and the career follows.","The surest path to professional success is disciplined caution: speak only what you can defend and act only on what you understand.","Zizhang (Zhuan Sun Shi) — ambitious disciple, focused on career. Confucius redirects his ambition: don't pursue the position, pursue the conduct that earns it. The advice is practical epistemology: filter your inputs, reserve judgment on the uncertain, and act only on the reliable. Connects to FUALL's Reason pillar — careful judgment as the basis of right action."
"2.17","2","34","Tsze-chang was learning with a view to official emolument.
The Master said, 'Hear much and put aside the points of which you stand in doubt, while you speak cautiously at the same time of the others:-- then you will afford few occasions for blame. See much and put aside the things which seem perilous, while you are cautious at the same time in carrying the others into practice:-- then you will have few occasions for repentance. When one gives few occasions for blame in his words, and few occasions for repentance in his conduct, he is in the way to get emolument.'","Zizhang was studying with an eye toward securing an official position.
The Master said, ""Listen widely and set aside what is doubtful; speak cautiously about the rest — then you will give few occasions for blame. Observe widely and set aside what seems risky; act cautiously on the rest — then you will have few occasions for regret. Few occasions for blame in your words, few occasions for regret in your conduct — and the position will take care of itself.""","Hear much, speak cautiously on what you trust. See much, act cautiously on what you understand. Minimize blame and regret, and the career follows.","The surest path to professional success is disciplined caution: speak only what you can defend and act only on what you understand.","Zizhang (Zhuan Sun Shi) — ambitious disciple, focused on career. Confucius redirects his ambition: don't pursue the position, pursue the conduct that earns it. The advice is practical epistemology: filter your inputs, reserve judgment on the uncertain, and act only on the reliable. Connects to FUALL's Reason pillar — careful judgment as the basis of right action."
"2.19","2","35","The Duke Ai asked, saying, 'What should be done in order to secure the submission of the people?' Confucius replied, 'Advance the upright and set aside the crooked, then the people will submit. Advance the crooked and set aside the upright, then the people will not submit.'","Duke Ai asked, ""How do I secure the people's loyalty?"" Confucius replied, ""Elevate the honest and set aside the corrupt, and the people will follow you. Elevate the corrupt and set aside the honest, and they will not.""","Promote the upright, remove the crooked — and the people follow. Reverse it, and they won't.","Public loyalty follows from visible justice in who a leader elevates and who they remove.","Duke Ai of Lu (r. 494-468 BCE) — nominal ruler during Confucius's later years, largely powerless against the Three Families. Confucius gives advice so obvious it functions as rebuke. Connects to FUALL's power domains — the Social domain depends on perceived legitimacy, which is destroyed by corrupt appointments."
"2.20","2","36","Chi K'ang asked how to cause the people to reverence their ruler, to be faithful to him, and to go on to nerve themselves to virtue. The Master said, 'Let him preside over them with gravity;-- then they will reverence him. Let him be filial and kind to all;-- then they will be faithful to him. Let him advance the good and teach the incompetent;-- then they will eagerly seek to be virtuous.'","Ji Kang asked how to make the people reverent, loyal, and eager to improve. The Master said, ""Preside over them with dignity — then they will be reverent. Be devoted and kind to all — then they will be loyal. Promote the competent and train those who are not — then they will strive to improve.""","Show dignity, and they will revere you. Show devotion, and they will follow you. Promote merit and train the rest, and they will strive.","People mirror their leaders: dignity inspires reverence, kindness inspires loyalty, and investing in growth inspires ambition.","Ji Kang (Chi K'ang) — head of the Ji family, the most powerful of the Three Families in Lu. Confucius answers by redirecting: you want the people to change? Change yourself first. De (virtue) as governance method. Connects to FUALL's concept of moral authority in the Ideational domain."
"2.21","2","37","Some one addressed Confucius, saying, 'Sir, why are you not engaged in the government?'
The Master said, 'What does the Shu-ching say of filial piety?-- ""You are filial, you discharge your brotherly duties. These qualities are displayed in government."" This then also constitutes the exercise of government. Why must there be THAT-- making one be in the government?'","Someone asked Confucius, ""Why are you not in government?""
The Master said, ""The Book of Documents says of filial piety: 'Be filial, discharge your duties to your siblings — these qualities extend into governance.' To practice these virtues is itself to govern. Why must one hold a formal office to be governing?""","Being filial and brotherly is itself governance. Office is not the only stage on which you can shape the world.","Governance is not limited to holding office — anyone who models right conduct in their relationships is already governing.","Shu Jing (Book of Documents) cited — one of the Five Classics. Confucius redefines 'government' beyond office-holding. Moral influence within the family and community is itself a political act. Connects to FUALL's framework: the Ideational domain operates through character and example, not just institutional position."
